,asin,name,category,description,price,rating,No_of_Rating
21,B000052YOR,"Neutrogena Lightweight Body Oil for Dry Skin, Sheer Moisturizer in Light Sesame Formula, 8.5 fl. oz",Skin Care,Special Ingredients Sesame Oil Item Form Oil Brand Neutrogena Skin Type Dry Age Range (Description) Adult,9.59 ,4.8,4057
22,B000052YOX,"Neutrogena Oil-Free Facial Moisturizer, Sensitive Skin, 4 Fl Oz",Skin Care,Item Form Oil Brand Neutrogena Use for Face Specific Uses For Product Dryness Skin Type Sensitive,9.50 ,4.7,13507
23,B000052YP4,"Neutrogena Light Facial Night Cream, 2.25 Oz.",Skin Care,"Item Form Cream Brand Neutrogena Skin Type Acne Prone,Sensitive Age Range (Description) Adult Skin Tone All",25.99 ,4.5,436
24,B000052YQN,Pond's Cold Cream Cleanser 3.5 oz,Skin Care,Item Form Cream Use for Face Brand Pond's Special Ingredients ERROR: #N/A Scent ERROR: #N/A,5.14 ,4.6,4962
25,B000052Z5B,"Coty AIRSPUN Face Powder, Naturally Neutral, 2.3 Oz, Natural Tone Loose Face Powder, for Setting Makeup or Foundation, Lightweight, Long Lasting, Pack of 1",Makeup,"Color Naturally Neutral Brand COTY AIRSPUN Ingredients Inactive Ingredients: Talc, Calcium Silicate, Acetylated Lanolin Alcohol, Isopropyl Palmitate, Zinc Stearate, Fragrance, Imidazolidinyl Urea, Methylparaben, Propylparaben, May Contain: Titanium Dioxide, Iron Oxides.Inactive Ingredients: Talc, Calcium Silicate, Acetylated Lanolin Alcohol, Isopropyl Palmitate, Zinc Stearate, Fragrance, Imidazolidinyl Urea, Methylparaben, Prop… See more Coverage Light Product Benefits Flawless; Make Up Setting",5.72 ,4.5,78123
26,B000052ZBH,"Almay Thickening Mascara with Aloe and Vitamin B5, Hypoallergenic, Cruelty Free, -Fragrance Free, Ophthalmologist Tested, 402 Black",Makeup,"Color Black Product Benefits Separating, Hypoallergenic, Thickening Ingredients Aqua ((Water) Eau), Pentaerythrityl Tetrastearate, Cera Alba ((Beeswax) Cire D'Abeille) PVP, Glyceryl Stearate SE, Ozokerite, Polybutene, Oleic Acid, Cera Carnauba ((Copernicia Cerifera (Carnauba) Wax) Cire DE Carnauba), Isopropanolamine, Sorbitan Sesquioleate, Aloe Barbadensis Leaf Juice, Tocopheryl Acetate, Magnesium Ascorbyl Phosphate, Panthenol, Quaternium-22, Simethicone, Quaternium 15, Methylparaben, Ethylparaben, Propylparaben, Imidazolidinyl Urea.Aqua ((Water) Eau), Pentaerythrityl Tetrastearate, Cera Alba ((Beeswax) Cire D'Abeille) PVP, Glyceryl Stearate SE, Ozokerite, Polybutene, Oleic Acid, Cera Carnaub… See more Item Volume 12 Milliliters Country/Region Of Origin United States",5.49 ,4.3,1955
27,B0000530ED,"L'Oreal Paris Feria Multi-Faceted Shimmering Permanent Hair Color, 36 Deep Burgundy Brown, Hair Dye",Hair Care,"Color 36 Deep Burgundy Brown Brand L'Oreal Paris Ingredients Our formulas are modified from time to time, so this ingredient listing may not exactly reflect the ingredients in the product you purchase and use. Always read the ingredient list on the product label before use. Note: Below Is The Most Comprehensive Ingredient List For This Product, But Please Note That Ingredients Vary By Shade. Please Check The Box At The Store For An Ingredient List At The Shade Level. Formula 1107535 FERIA - Midnight Collection - 3.26 INGREDIENTS AQUA / WATER / EAU ALCOHOL DENAT. PEG-4 RAPESEEDAMIDE GLYCERYL LAURYL ETHER DECETH-3 PROPYLENE GLYCOL LAURETH-5 CARBOXYLIC ACID ETHANOLAMINE DIPROPYLENE GLYCOL HEXYLENE GLYCOL AMMONIUM HYDROXIDE POLOXAMER 338 POLYQUATERNIUM-6 OLEYL ALCOHOL 2,4-DIAMINOPHENOXYETHANOL HCl 4-AMINO-2-HYDROXYTOLUENE m-AMINOPHENOL 2-METHYL-5-HYDROXYETHYLAMINOPHENOL AMMONIUM THIOLACTATE p-PHENYLENEDIAMINE PARFUM / FRAGRANCE RESORCINOL EDTA ERYTHORBIC ACID FIL CODE D43841/2 Formula 1087179 D AFTER COLOR CONDITIONER INGREDIENTS AQUA / WATER / EAU CETEARYL ALCOHOL GLYCERIN BEHENTRIMONIUM CHLORIDE AMODIMETHICONE CETYL ESTERS ISOPROPYL ALCOHOL PARFUM / FRAGRANCE SODIUM PCA TRIDECETH-6 PANTHENOL CANDELILLA CERA / CANDELILLA WAX / CIRE DE CANDELILLA CETRIMONIUM CHLORIDE CHLORHEXIDINE DIHYDROCHLORIDE HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN 2-OLEAMIDO-1,3-OCTADECANEDIOL SOLUBLE COLLAGEN FIL CODE D52825/3 Formula 1084487 A ACCENTING AFTER COLOR INGREDIENTS AQUA / WATER / EAU DISODIUM COCOAMPHODIPROPIONATE SODIUM LAURYL SULFATE PPG-5-CETETH-10 PHOSPHATE PHOSPHORIC ACID PPG-12-PEG-50 LANOLIN GLYCOL DISTEARATE POLYQUATERNIUM-10 HEXYLENE GLYCOL SODIUM BENZOATE PARFUM / FRAGRANCE TARTARIC ACID PEG-55 PROPYLENE GLYCOL OLEATE SALICYLIC ACID PROPYLENE GLYCOL FIL CODE D43589/4 L'ORÉAL PARIS 20 VOLUME RETAIL DEVELOPER INGREDIENTS AQUA / WATER HYDROGEN PEROXIDE CETEARYL ALCOHOL TRIDECETH-2 CARBOXAMIDE MEA CETEARETH-30 GLYCERIN PENTASODIUM PENTETATE SODIUM STANNATE TETRASODIUM PYROPHOSPHATE F.I.L. Code D56/21Our formulas are modified from time to time, so this ingredient listing may not exactly reflect the ingredients in the product you purchase and use. Al… See more Item Form Liquid Hair Type Chemically Treated",9.97 ,4.7,757
28,B0000530EZ,Aussie Hair Insurance Leave-In Conditioner 8 oz (Pack of 3),Hair Care,"Brand Aussie Scent Orange Hair Type All Liquid Volume 8 Milliliters Ingredients Water, Amodimethicone, Cetrimonium Chloride, Trideceth-12, Polyquaternium-11, PEG-40, Hydrogenated Castor Oil, PPG-2, Methyl Ether, DMDM Hydantoin, Fragrance, Disodium EDTA, Polysorbate 80, Aminomethyl Propanol, Citric Acid, Panax Ginseng Root Extract, Silk Extract, Aloe Barbadensis Leaf JuiceWater, Amodimethicone, Cetrimonium Chloride, Trideceth-12, Polyquaternium-11, PEG-40, Hydrogenated Castor Oil, PPG-2, Methyl Ether, DMD… See more",19.99 ,4.7,802
29,B0000530G6,"Suave Professionals Conditioner, Deep Moisture, 12.6 oz",Hair Care,Brand Suave Hair Type All Liquid Volume 410 Milliliters Ingredients 1. Water (Aqua) 2. Cetearyl Alcohol 3. Dimethicone 4. Stearamidopropyl Dimethylamine 5. Behentrimonium Chloride 6. Fragrance (Parfum) 7. Dipropylene Glycol 8. Lactic Acid 9. Potassium Chloride 10. Amodimethicone 11. Disodium Edta 12. Dmdm Hydantoin 13. Peg-150 Distearate 14. Peg-7 Propylheptyl Ether 15. Cetrimonium Chloride 16. Hydrolyzed Keratin 17. Panthenol 18. Methylchloroisothiazolinone 19. Methylisothiazolinone1. Water (Aqua) 2. Cetearyl Alcohol 3. Dimethicone 4. Stearamidopropyl Dimethylamine 5. Behentrimonium Chloride 6. Fragrance (Parfum) 7. Dipropylene Glycol… See more Item Dimensions LxWxH 2.81 x 1.69 x 8.38 inches,2.73 ,4.6,590
30,B0000531SW,"L'oreal Visible Lift Line-minimizing and Tone-enhancing Makeup, Normal/Dry Skin, Soft Ivory, 1.25-Fluid Ounce",Makeup,"Color Soft Ivory Brand L'Oreal Paris Ingredients Active Ingredient: Octyl Methoxycinnamate (2.0%). Other Ingredients: Water, Cyclopentasiloxane, Ethylhexyl Palmitate, Nylon-12, Glycerin, Propylene Glycol, Glyceryl Stearate, Mineral Oil, Stearic Acid, Glyceryl Isostearate, Dimethicone, Stearyl Alcohol, Triethanolamine, Magnesium Aluminum Silicate, Panthenol, Retinyl Palmitate, Pisum Sativum (Pea) Extract, Tocopherol, Methylsilanol Mannuronate, Butyrospermum Parkii (Shea Butter) Fruit, Sodium Lauroyl Sarcosinate, Lanolin, Alcohol, Diazolidinyl Urea, Helianthus Annuus (Sunflower) Seed Oil, Methylparaben, Butylparaben, Cellulose Gum. May Contain: Titanium Dioxide, Iron Oxides. B5288/2.Active Ingredient: Octyl Methoxycinnamate (2.0%). Other Ingredients: Water, Cyclopentasiloxane, Ethylhexyl Palmitate, Nylon-12, Glycerin, Propylene… See more Coverage Full Item Weight 0.25 Pounds",19.85 ,4.3,311
31,B0000532YN,"Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar",Skin Care,"Item Form Bar Brand Kiss My Face Ingredients Sodium Olivate (Saponified Olive Oil), Water, Sodium Chloride (Sea Salt) Item Weight 0.3 Kilograms Item Dimensions LxWxH 1.63 x 3.88 x 2.5 inches",6.00 ,4.4,911
32,B00005333G,"L'Oreal Paris Skincare Hydra-Renewal Face Moisturizer with Pro-Vitamin B5 for Dry/Sensitive Skin, All-Day Hydration, 1.7 Oz",Skin Care,Item Form Cream Brand L'Oréal Paris Use for Face Skin Type Dry Age Range (Description) Adult,6.42 ,4.4,1903
33,B00005333I,"Eye Cream to Reduce Puffiness, Lines and Dark Circles, L'Oreal Paris Skincare Dermo-Expertise Eye Defense Eye Cream with Caffeine and Hyaluronic Acid For All Skin Types, 0.5 oz.",Skin Care,"Special Ingredients Hyaluronic Acid Item Form Gel Brand L'Oréal Paris Use for Eyes Specific Uses For Product Reduces puffiness, lines and dark circles. Light-weight, non-greasy. Dermatologist and Ophthalmologist Tested.Reduces puffiness, lines and dark circles. Light-weight, non-greasy. Dermatologist and Ophthalmologist Tested. See more",11.79 ,4.2,11552
34,B0000535RA,"Neutrogena Pore Refining Toner with Witch Hazel, Alpha Hydroxy Acid & Beta Hydroxy Acid, Oil-Free & Hypoallergenic Facial Pore Cleansing Toner, 8.5 fl. oz",Skin Care,"Ingredients Water, Alcohol Denat. (35%), Glycolic Acid, Witch Hazel (Hamamelis Viginiana) Extract, Sodium PCA, Salicylic Acid, Aloe Barbadensis Leaf Extract, Eucalyptus Globulus Leaf Extract, Peppermint (Mentha Piperita) Leaf Extract, Allantoin, Sodium Lactate, PEG 40 Hydrogenated Castor Oil, Fragrance.Water, Alcohol Denat. (35%), Glycolic Acid, Witch Hazel (Hamamelis Viginiana) Extract, Sodium PCA, Salicylic Acid, Aloe Barbadensis Leaf Extract, Eucalyp… See more Brand Neutrogena Scent Rose Petal Skin Type Won't over dry skin Item Weight 283 Grams",7.27 ,4.6,6046
35,B0000535UM,"JASON Thin-to-Thick Extra Volume Shampoo, 8 fl oz. (Packaging May Vary)",Hair Care,"Brand JĀSÖN Scent Citrus, Peppermint Hair Type Fine Liquid Volume 8 Fluid Ounces Ingredients Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Cetyl Alcohol, Glyceryl Stearate SE, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Arvensis Leaf Oil, Mentha Piperita (Peppermint) Oil, Mentha Viridis (Spearmint) Leaf Oil, Nigella Sativa (Black Cumin) Seed Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary) Leaf Oil, Soybean Glycerides, Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Equisetum Arvense Leaf Extract (Certified Organic Ingredient), Tilia Tomentosa Bulb Extract, Ascorbyl, Palmitate, Biotin, Panthenol, Tocopheryl Acetate, Caffeine, Caprylic/Capric Triglyceride, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Phytantriol, Potassium Hydroxide, Sodium Chloride, Sucrose Laurate, Sucrose Myristate, Triethyl Citrate, Xanthan Gum, Alcohol, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate.Water (Aqua), Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Cocoyl Isethionate, Cetyl Alcohol, Glyceryl Stearate SE, Butyrospermum Parkii (Shea) B… See more",7.59 ,4.1,983
36,B0000535UN,"Jason Conditioner, Thin to Thick Extra Volume, 8 Oz",Hair Care,"Brand JĀSÖN Hair Type Fine Liquid Volume 8 Fluid Ounces Ingredients Water (Aqua), Glycerin, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Stearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter Unsaponifiables, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Arvensis Leal Oil, Mentha Piperita (Peppermint) Oil, Mentha Viridis (Spearmint) Leaf Oil, Nigella Sativa (Black Cumin) Seed Oil (Certified Organic Ingredient), Rosmarinus Officinalis (Rosemary), Leaf Oil, Shea Butter Ethyl Esters, Soybean Glycerides, Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Chenopodium Quinoa Seed (Certified Organic Ingredient), Equisetum Arvense Leaf Extract (Certified Organic Ingredient), Tilia Tormentosa Bulb Extract, Ascorbyl Palmitate, Biotin Panthenol, Tocopheryl Acetate, Allantoin, Behentrimonium Chloride, Brassica Alcohol, Brassicyl Isoleucinate Esylate, Caffeine, Caprylic/Capric Triglyceride, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Isopropyl Alcohol, Phytantriol, Polysorbate 60, Potassium Hydroxide, Sodium PCA Triethyl Citrate, Alcohol (Certified Organic Ingredient), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate.Water (Aqua), Glycerin, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Stearyl Alcohol, Cetyl Alcohol, Butyrosp… See more Item Dimensions LxWxH 7.24 x 1.89 x 1.81 inches",9.25 ,4.2,490
37,B0000535UT,"Jason Natural Body Wash & Shower Gel, Purifying Tea Tree, 30 Oz",Skin Care,Item Form Gel Brand JĀSÖN Scent Tea Tree Skin Type Sensitive Age Range (Description) Adult,8.98 ,4.5,18322
38,B0000535UX,"JĀSÖN Hand Soap, Purifying Tea Tree, 16 Fl OZ",Skin Care,"Item Form Liquid Brand JĀSÖN Scent Tea Tree Ingredients Water (Aqua), Sodium Cocoyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Helianthus Annuus (Sunflower) Seed Oil (Certified Organic Ingredient), Melaleuca Alternifolia (Tea Tree) Leaf Oil (Certified Organic Ingredient), Olea Europaea (Olive) Fruit Oil (Certified Organic Ingredient), Aloe Barbadensis Leaf Juice (Certified Organic Ingredient), Calendula Officinalis Flower Extract (Certified Organic Ingredient), Chamomilla Recutita (Matricaria) Flower Extract (Certified Organic Ingredient), Hypericum Perforatum Flower/Leaf/Stem Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Salvia Officinalis (Sage) Leaf Extract, Panthenol, Tocopheryl Acetate, Allantoin, Citric Acid, Glyceryl Distearate, Glyceryl Stearate, Guar Hydroxypropyltrimonium Chloride, Lecithin, Sodium Chloride, Steam Acid, Alcohol (Certified Organic Ingredient), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Amyl Cinnamal, Benzyl Salicylate, Citronellol, Isoeugenol, Fragrance (Parfum), (Certified Organic Ingredient).Water (Aqua), Sodium Cocoyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin,… See more Item Weight 1 Pounds",7.90 ,4.3,314
